timestamp,actual_pm25,predicted_pm25,residuals,hour,model,mae,rmse,r2
2019-06-13 23:00:00+03:00,8.905458828154064,11.93414299468572,-3.028684166531656,23,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 00:00:00+03:00,8.721370342902418,7.148428388994591,1.5729419539078267,0,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 01:00:00+03:00,8.07924507900437,7.5849992058466595,0.49424587315770996,1,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 02:00:00+03:00,6.601983303016341,7.617811161837053,-1.0158278588207121,2,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 03:00:00+03:00,6.029858781698164,6.920638303369003,-0.8907795216708392,3,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 04:00:00+03:00,5.917739952696321,7.267074090084973,-1.3493341373886523,4,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 05:00:00+03:00,6.004098820256961,7.0826994701725,-1.078600649915539,5,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 06:00:00+03:00,7.589433415128156,7.401021560143189,0.1884118549849676,6,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 07:00:00+03:00,8.972340266258204,8.196750432584205,0.7755898336739993,7,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 08:00:00+03:00,9.261068539400712,9.038372074418733,0.22269646498197915,8,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 09:00:00+03:00,6.988697815616574,9.028983845141791,-2.040286029525217,9,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 10:00:00+03:00,6.043565839432992,7.257031931618873,-1.2134660921858815,10,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 11:00:00+03:00,5.456845774283776,6.5588752643424755,-1.1020294900586993,11,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 12:00:00+03:00,4.480696073475451,6.303095173973139,-1.8223991004976883,12,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 13:00:00+03:00,5.2192319907604805,5.391334218785081,-0.17210222802460073,13,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 14:00:00+03:00,7.946405407970489,5.932651291469941,2.0137541165005475,14,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 15:00:00+03:00,5.9088591994452715,8.296632737969304,-2.3877735385240326,15,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 16:00:00+03:00,7.466591098551847,6.552246635272091,0.9143444632797557,16,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 17:00:00+03:00,6.986356951973655,8.584029496637816,-1.597672544664161,17,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 18:00:00+03:00,10.49206965209315,8.269034236113052,2.223035415980098,18,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 19:00:00+03:00,10.676369548732952,10.828232624493006,-0.15186307576005476,19,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 20:00:00+03:00,9.57965484781468,11.187362895759085,-1.6077080479444046,20,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 21:00:00+03:00,8.510043294478436,9.619034721669795,-1.1089914271913592,21,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 22:00:00+03:00,7.669069143078991,8.23468763041424,-0.5656184873352483,22,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-14 23:00:00+03:00,6.109659216688088,7.164736234239969,-1.0550770175518815,23,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 00:00:00+03:00,6.532129613482763,6.062783589263132,0.46934602421963056,0,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 01:00:00+03:00,6.134404463187726,6.550221920583487,-0.4158174573957609,1,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 02:00:00+03:00,5.795959539762967,6.107230793058175,-0.31127125329520844,2,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 03:00:00+03:00,5.5834059830111356,5.97296464456413,-0.3895586615529947,3,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 04:00:00+03:00,7.158560044852851,6.1000304266662475,1.0585296181866033,4,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 05:00:00+03:00,7.832886621384394,7.610893369447467,0.22199325193692676,5,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 06:00:00+03:00,7.6943426918983455,8.336563113953227,-0.6422204220548817,6,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 07:00:00+03:00,9.512546501954397,8.148234332369249,1.3643121695851477,7,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 08:00:00+03:00,7.606280221144359,9.367007761475387,-1.760727540331028,8,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 09:00:00+03:00,7.284469357635338,7.07428815086027,0.21018120677506769,9,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
2019-06-15 10:00:00+03:00,9.614376505897159,6.732592072138513,2.8817844337586456,10,AR(28),1.596089721819008,2.325729350686487,0.7704367949300659
